audit_row_id,bucket,decision,reviewer,reviewed_at,school_id,reason,pdf_type,detected_fiscal_year,year_evidence,trusted_year_evidence,discovery_method,anchor_text,page_url,pdf_url,suggested_decision,suggested_decision_basis,review_question,false_reject_signal,notes
3cb382458707332d,fiscal_year_mismatch,,,,3,fiscal_year_mismatch:2019,target,,,school_domain_override_disclosure,school_domain_override,大学等における修学の支援に関する法律第７条第１項の確認に係る申請書 令和元年度(平成31年度),https://www.nkhs.ac.jp/about/publicindex/,http://mail.nkhs.ac.jp/release/2019/nkhs_application2019.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
c5d11e711cf6a18d,fiscal_year_mismatch,,,,5,fiscal_year_mismatch:2019,target,,,school_domain_override_disclosure,school_domain_override,2019年度,https://www.nkz.ac.jp/clginfo/om/omZ-studyspt_13.html,https://www.nkz.ac.jp/clginfo/om/pdf/omZ-studyspt_13_19.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
df992e72e0e366f4,fiscal_year_mismatch,,,,8,fiscal_year_mismatch:2019,target,,,school_domain_override_disclosure,school_domain_override,2019年度,https://www.nkz.ac.jp/clginfo/oh/ohZ-studyspt_13.html,https://www.nkz.ac.jp/clginfo/oh/pdf/ohZ-studyspt_13_19.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
b17a21c6ee336dcf,fiscal_year_mismatch,,,,11,fiscal_year_mismatch:2019,target,,,school_domain_override_disclosure,school_domain_override,2019年度,https://www.nkz.ac.jp/clginfo/oi/oiZ-studyspt_13.html,https://www.nkz.ac.jp/clginfo/oi/pdf/oiZ-studyspt_13_19.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
384cc4a975e6b398,fiscal_year_mismatch,,,,12,fiscal_year_mismatch:2025,target,2025,,school_domain_override_disclosure,school_domain_override,,https://www.nkz.ac.jp/clginfo/ni/niZ-studyspt_13.html,https://www.nkz.ac.jp/clginfo/ni/pdf/niZ-studyspt_13.pdf,correct_reject,Detected fiscal year 2025 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
f04863211f5bfa35,fiscal_year_mismatch,,,,13,fiscal_year_mismatch:2019,target,,,,school_domain_override,2019年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/sapporo-med/,https://www.sanko.ac.jp/disclosure/sapporo-med/docs/yoshiki.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
f2e126bb58a1da01,fiscal_year_mismatch,,,,14,fiscal_year_mismatch:2019,target,,,,school_domain_override,2019年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/sendai-med/,https://www.sanko.ac.jp/disclosure/sendai-med/docs/yoshiki.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
a1fd7d974bb54106,fiscal_year_mismatch,,,,15,fiscal_year_mismatch:2019,target,,,,school_domain_override,2019年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/omiya-med/,https://www.sanko.ac.jp/disclosure/omiya-med/docs/yoshiki.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
41ce6f5be8cb7656,fiscal_year_mismatch,,,,16,fiscal_year_mismatch:2019,target,,,,school_domain_override,2019年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/chiba-med/,https://www.sanko.ac.jp/disclosure/chiba-med/docs/yoshiki.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
1e0e4e9b972f490b,fiscal_year_mismatch,,,,17,fiscal_year_mismatch:2019,target,,,,school_domain_override,2019年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/tokyo-fukushi/,https://www.sanko.ac.jp/tokyo-fukushi/pdf/yoshiki.pdf,correct_reject,Detected fiscal year 2019 is not FY2026; confirm no trusted target-year evidence exists.,"Are these true old-year target forms, or did FY2026/R8 evidence get missed?",PDF/page/anchor contains trusted FY2026/R8 evidence but the row was rejected.,
