audit_row_id,school_id,bucket,reason,pdf_type,detected_fiscal_year,anchor_text,page_url,pdf_url,system_suggested_decision,developer_shadow_decision,diagnostic_lane,shadow_basis,next_release_branch,shadow_priority,release_evidence_allowed
cff41b0714a9200e,4,site_entry_fetch_identity,no_candidates_found,,,,https://www.mode.ac.jp/tokyo,https://www.mode.ac.jp/tokyo,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
bb4da083a3ef33f6,5,site_entry_fetch_identity,no_candidates_found,,,,https://www.mode.ac.jp/osaka,https://www.mode.ac.jp/osaka,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
b44dd14a9cc4f4ea,6,site_entry_fetch_identity,no_candidates_found,,,,https://www.mode.ac.jp/nagoya,https://www.mode.ac.jp/nagoya,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
5cd47a3627fcae17,7,site_entry_fetch_identity,no_candidates_found,,,,https://www.hal.ac.jp/tokyo,https://www.hal.ac.jp/tokyo,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
3866fd28354a97e1,8,site_entry_fetch_identity,no_candidates_found,,,,https://www.hal.ac.jp/osaka,https://www.hal.ac.jp/osaka,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
0d0bc1d1fdce2dd1,9,site_entry_fetch_identity,no_candidates_found,,,,https://www.hal.ac.jp/nagoya,https://www.hal.ac.jp/nagoya,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
f5d47fcd2d8aca3e,10,site_entry_fetch_identity,no_candidates_found,,,,https://www.iko.ac.jp/tokyo,https://www.iko.ac.jp/tokyo,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
ca15518d6c5a6647,11,site_entry_fetch_identity,no_candidates_found,,,,https://www.iko.ac.jp/osaka,https://www.iko.ac.jp/osaka,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
54fd6f6418ad0d27,12,site_entry_fetch_identity,no_candidates_found,,,,https://www.iko.ac.jp/nagoya,https://www.iko.ac.jp/nagoya,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
bf12a235cd7aa235,20,site_entry_fetch_identity,pdf_school_mismatch,target,,2026年度 高等教育の修学支援新制度 申請様式,https://www.sanko.ac.jp/disclosure/yokohama-med/,https://www.sanko.ac.jp/disclosure/yokohama-med/yoshiki2026.pdf,needs_operator_review,likely_needs_operator_review,site_entry_identity_review,Identity/fetch risk cannot be resolved from the rejection row alone. Owner/operator must confirm the official institution page and PDF identity.,owner_identity_adjudication_required,high,false
